Tempo decorrido,E[N],E[W],Lambda,Erro Little
35980.00,313.4206442870,155.8311193305,2.0112840467,-0.00000000068342842496
35990.00,313.4064236480,155.8350559831,2.0111419839,-0.00000000068985173129
36000.00,313.3890876170,155.8395904999,2.0109722222,-0.00000000069860561780
36010.00,313.3695471555,155.8301096885,2.0109691752,-0.00000000069337602326
36020.00,313.3494946908,155.8203741118,2.0109661299,-0.00000000071173644756
36030.00,313.3284659840,155.8338113498,2.0106577852,-0.00000000069962879934
36040.00,313.3048879785,155.8395186426,2.0104328524,-0.00000000069218231147
36050.00,313.2803571773,155.8124922570,2.0106241331,-0.00000000067791461333
36060.00,313.2571019679,155.7882621052,2.0107875763,-0.00000000067035443863
36070.00,313.2319840188,155.7888899188,2.0106182423,-0.00000000066501115725
36080.00,313.2067738232,155.7658432977,2.0107538803,-0.00000000066944494392
36090.00,313.1816871903,155.7514515940,2.0107786090,-0.00000000066188476922
36100.00,313.1587888998,155.7402950765,2.0107756233,-0.00000000062391336542
36110.00,313.1352318498,155.7309555713,2.0107449460,-0.00000000061316995925
36120.00,313.1115408764,155.7215478607,2.0107142857,-0.00000000062698291003
36130.00,313.0880947112,155.7165472983,2.0106282867,-0.00000000062362914832
36140.00,313.0638869134,155.7090208510,2.0105700055,-0.00000000061726268541
36150.00,313.0388917870,155.7032421762,2.0104840941,-0.00000000061015725805
36160.00,313.0118326189,155.7007162561,2.0103429204,-0.00000000058275873016
36170.00,312.9844331672,155.6915907646,2.0102847664,-0.00000000058457771956
36180.00,312.9561494671,155.6777414032,2.0102819237,-0.00000000058702198658
36190.00,312.9263203782,155.6502863535,2.0104448743,-0.00000000058270188674
36200.00,312.8982781904,155.6301461991,2.0105248619,-0.00000000060089178078
36210.00,312.8695700062,155.6331945372,2.0103010218,-0.00000000058957994042
36220.00,312.8386719200,155.6351445225,2.0100773054,-0.00000000058639670897
36230.00,312.8073927995,155.6283467839,2.0099641181,-0.00000000057696070144
36240.00,312.7770066332,155.6006248769,2.0101269316,-0.00000000056320459407
36250.00,312.7446422376,155.6082310466,2.0098206897,-0.00000000056877524912
36260.00,312.7098064189,155.5889729375,2.0098455598,-0.00000000057957549870
36270.00,312.6737618715,155.5925932348,2.0095671354,-0.00000000057548277255
36280.00,312.6361778079,155.5719609767,2.0095920617,-0.00000000057201532400
36290.00,312.5980087235,155.5681043403,2.0093965280,-0.00000000056536464399
36300.00,312.5611145882,155.5371497056,2.0095592287,-0.00000000057872284742
36310.00,312.5242801851,155.5168925220,2.0095841366,-0.00000000060032334659
36320.00,312.4861111517,155.5002336999,2.0095539648,-0.00000000060094862420
36330.00,312.4478852051,155.4814150633,2.0095513350,-0.00000000061248783823
36340.00,312.4099564736,155.4797767468,2.0093285636,-0.00000000063079141910
36350.00,312.3711043065,155.4563826011,2.0093810179,-0.00000000064312644099
36360.00,312.3318007602,155.4434049066,2.0092959296,-0.00000000062618710217
36370.00,312.2913382900,155.4107051287,2.0094583448,-0.00000000062374283516
36380.00,312.2520306770,155.3977220018,2.0093732820,-0.00000000061504579207
36390.00,312.2139215579,155.3810804912,2.0093432262,-0.00000000062379967858
36400.00,312.1747784377,155.3681711740,2.0092582418,-0.00000000063965899244
36410.00,312.1347689494,155.3654450160,2.0090359791,-0.00000000064562755142
36420.00,312.0947116283,155.3308379459,2.0092257002,-0.00000000062732397055
36430.00,312.0555354483,155.3179013895,2.0091408180,-0.00000000061368155002
36440.00,312.0156109802,155.2939816177,2.0091931943,-0.00000000060055072026
36450.00,311.9756497958,155.2806482832,2.0091083676,-0.00000000060651927924
36460.00,311.9353308002,155.2628928069,2.0090784421,-0.00000000060316551753
36470.00,311.8953574448,155.2537832833,2.0089388539,-0.00000000059509375205
36480.00,311.8554340558,155.2171560343,2.0091557018,-0.00000000062351546148
36490.00,311.8153099636,155.1867955181,2.0092902165,-0.00000000063892002800
36500.00,311.7758293183,155.1652272994,2.0093150685,-0.00000000063369043346
36510.00,311.7357820998,155.1264621909,2.0095590249,-0.00000000063812422013
36520.00,311.6988016422,155.1061484670,2.0095837897,-0.00000000063329252953
36530.00,311.6630970738,155.0801337092,2.0096906652,-0.00000000062573235482
36540.00,311.6240127195,155.0820089452,2.0094143404,-0.00000000063204197431
36550.00,311.5815778045,155.0632009692,2.0093844049,-0.00000000061783111960
36560.00,311.5377741111,155.0289376679,2.0095459519,-0.00000000060532556745
36570.00,311.4941126613,155.0158494937,2.0094339623,-0.00000000057809756981
