Tempo decorrido,E[N],E[W],Lambda,Erro Little
1940.00,4.5949286429,2.3004287915,1.9974226804,0.00000000000239541720
1950.00,4.5979209859,2.3007302855,1.9984615385,0.00000000000283861823
1960.00,4.6250674331,2.3089995336,2.0030612245,0.00000000000305711012
1970.00,4.6515625614,2.3228335224,2.0025380711,0.00000000000416555679
1980.00,4.6645077371,2.3322538685,2.0000000000,0.00000000000372146758
1990.00,4.6592692565,2.3313919589,1.9984924623,0.00000000000335997896
2000.00,4.6472302061,2.3236151030,2.0000000000,0.00000000000351008111
2010.00,4.6369858802,2.3167640118,2.0014925373,0.00000000000303934655
2020.00,4.6364528807,2.3176527639,2.0004950495,0.00000000000387068155
2030.00,4.6236847261,2.3107040852,2.0009852217,0.00000000000309707815
2040.00,4.6059918296,2.3063876614,1.9970588235,0.00000000000353495011
2050.00,4.5929371898,2.2992725859,1.9975609756,0.00000000000485567142
2060.00,4.5792276826,2.2912822507,1.9985436893,0.00000000000339284156
2070.00,4.5692107743,2.2851573575,1.9995169082,0.00000000000484767781
2080.00,4.5623405649,2.2817187726,1.9995192308,0.00000000000468602934
2090.00,4.5673349492,2.2809390786,2.0023923445,0.00000000000440536496
2100.00,4.5501406760,2.2766965498,1.9985714286,0.00000000000572075720
2110.00,4.5370376594,2.2701326681,1.9985781991,0.00000000000524114085
2120.00,4.5207109577,2.2608887073,1.9995283019,0.00000000000569322367
2130.00,4.5039038670,2.2540684297,1.9981220657,0.00000000000650235421
2140.00,4.4980695462,2.2490347731,2.0000000000,0.00000000000713828996
2150.00,4.4948701521,2.2463902434,2.0009302326,0.00000000000758593188
2160.00,4.4927041245,2.2432364560,2.0027777778,0.00000000000734345917
2170.00,4.4999370660,2.2453123553,2.0041474654,0.00000000000635402841
2180.00,4.4951797288,2.2434733994,2.0036697248,0.00000000000751487761
2190.00,4.4975632482,2.2421269095,2.0059360731,0.00000000000814281975
2200.00,4.5046269306,2.2466967235,2.0050000000,0.00000000000714006632
2210.00,4.4916070223,2.2427590418,2.0027149321,0.00000000000653344046
2220.00,4.4776479040,2.2352998306,2.0031531532,0.00000000000733546557
2230.00,4.4635157161,2.2312575761,2.0004484305,0.00000000000825206570
2240.00,4.4489548007,2.2274606065,1.9973214286,0.00000000000928856991
2250.00,4.4311776123,2.2210179611,1.9951111111,0.00000000000924504917
2260.00,4.4151020818,2.2139185056,1.9942477876,0.00000000000827693469
2270.00,4.4010045507,2.2097501283,1.9916299559,0.00000000000853628279
2280.00,4.3873116276,2.2038049154,1.9907894737,0.00000000000945732381
2290.00,4.3898594983,2.2045566340,1.9912663755,0.00000000000962696589
2300.00,4.3751759258,2.2005039644,1.9882608696,0.00000000000820676860
2310.00,4.3637413267,2.1970885930,1.9861471861,0.00000000000855671090
2320.00,4.3499093587,2.1914852795,1.9849137931,0.00000000000906741349
2330.00,4.3404196012,2.1856878476,1.9858369099,0.00000000000856470450
2340.00,4.3343966482,2.1844686963,1.9841880342,0.00000000000852562465
2350.00,4.3196525919,2.1797688621,1.9817021277,0.00000000000880628903
2360.00,4.3054152518,2.1743590829,1.9800847458,0.00000000000901856367
2370.00,4.3272289947,2.1843520165,1.9810126582,0.00000000000877697914
2380.00,4.3483986010,2.1940192220,1.9819327731,0.00000000000973710002
2390.00,4.3587328977,2.1968307941,1.9841004184,0.00000000001118660720
2400.00,4.3562434179,2.1964252527,1.9833333333,0.00000000001245403780
2410.00,4.3763089938,2.2069271134,1.9829875519,0.00000000001212541179
2420.00,4.3912041679,2.2162073173,1.9814049587,0.00000000001273914307
2430.00,4.3841209308,2.2162292203,1.9781893004,0.00000000001255973103
2440.00,4.3828966825,2.2118444478,1.9815573770,0.00000000001093258817
2450.00,4.3860587709,2.2110790100,1.9836734694,0.00000000001248956494
2460.00,4.3898061191,2.2110817062,1.9853658537,0.00000000001320454857
2470.00,4.3837753923,2.2070781123,1.9862348178,0.00000000001363975599
2480.00,4.3692904285,2.2010644450,1.9850806452,0.00000000001301625474
2490.00,4.3660052076,2.1984535828,1.9859437751,0.00000000001379163450
2500.00,4.3690621537,2.2012606578,1.9848000000,0.00000000001397548743
2510.00,4.3585571422,2.1985487192,1.9824701195,0.00000000001284750084
2520.00,4.3437858812,2.1932158727,1.9805555556,0.00000000001322053578
2530.00,4.3488130147,2.1934802486,1.9826086957,0.00000000001340172417
2540.00,4.3378048671,2.1869837956,1.9834645669,0.00000000001323829935
2550.00,4.3324491671,2.1837804657,1.9839215686,0.00000000001332001176
2560.00,4.3246318536,2.1836405415,1.9804687500,0.00000000001366817770
2570.00,4.3163300374,2.1802217367,1.9797665370,0.00000000001386979420
2580.00,4.3242250051,2.1832682022,1.9806201550,0.00000000001423217100
2590.00,4.3432375175,2.1923572735,1.9810810811,0.00000000001419309115
2600.00,4.3652849205,2.2042611756,1.9803846154,0.00000000001462385768
2610.00,4.3537442106,2.2000527376,1.9789272031,0.00000000001440181308
2620.00,4.3586610928,2.1990548937,1.9820610687,0.00000000001478284162
2630.00,4.3475807806,2.1967603176,1.9790874525,0.00000000001422595375
2640.00,4.3380537737,2.1910200808,1.9799242424,0.00000000001411315509
2650.00,4.3254985688,2.1845952368,1.9800000000,0.00000000001440714215
2660.00,4.3240998316,2.1829769505,1.9808270677,0.00000000001432631791
2670.00,4.3401264637,2.1926466714,1.9794007491,0.00000000001550048978
2680.00,4.3364622178,2.1919499705,1.9783582090,0.00000000001559286034
2690.00,4.3398470661,2.1935717038,1.9784386617,0.00000000001528555060
2700.00,4.3307636751,2.1884824860,1.9788888889,0.00000000001416999851
2710.00,4.3279968540,2.1890390956,1.9771217712,0.00000000001332711719
2720.00,4.3153641747,2.1829627218,1.9768382353,0.00000000001272848493
2730.00,4.3128242746,2.1815842634,1.9769230769,0.00000000001154720763
2740.00,4.3018490413,2.1743343245,1.9784671533,0.00000000001263789073
2750.00,4.3281011810,2.1875166785,1.9785454545,0.00000000001202593580
2760.00,4.3250038479,2.1862656814,1.9782608696,0.00000000001152855589
2770.00,4.3186541904,2.1829693626,1.9783393502,0.00000000001149746964
2780.00,4.3096805924,2.1755787265,1.9809352518,0.00000000001237765446
2790.00,4.3019800809,2.1700460000,1.9824372760,0.00000000001280753281
2800.00,4.3262348785,2.1775045227,1.9867857143,0.00000000001192024257
2810.00,4.3597042987,2.1958718550,1.9854092527,0.00000000001193445343
2820.00,4.3857899099,2.2073759675,1.9868794326,0.00000000001122835158
2830.00,4.4063321910,2.2184522506,1.9862190813,0.00000000001087929746
2840.00,4.4018249205,2.2149508813,1.9873239437,0.00000000001065103561
2850.00,4.3919822282,2.2119012812,1.9856140351,0.00000000001085442847
2860.00,4.3948364727,2.2090039212,1.9895104895,0.00000000001108180214
2870.00,4.4170187135,2.2197239901,1.9898954704,0.00000000001098676705
2880.00,4.4626456547,2.2394876260,1.9927083333,0.00000000001171951425
2890.00,4.4864061712,2.2541227112,1.9903114187,0.00000000001117683723
2900.00,4.5057379376,2.2634055117,1.9906896552,0.00000000001125943783
2910.00,4.5390086916,2.2773302228,1.9931271478,0.00000000001129318861
2920.00,4.5643081314,2.2896031169,1.9934931507,0.00000000001078248602
2930.00,4.5698100762,2.2931227133,1.9928327645,0.00000000001245847869
